scale,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9
0.5,-0.2161251756142425,-0.301311575156021,-0.33175531672889064,0.07683530995778258,0.3148599076661042,0.16703654435221085,0.40747103060941137,-0.2817126778430637,-0.10536576172761503,0.2900955857436057
0.52,-0.20917808543556154,-0.2676552435642532,-0.2535139785295867,0.05695929504073247,0.20191120308756985,0.05866171720669077,0.14111603360900807,-0.088943642000342,0.17110331528427736,-0.31681426747897895
0.54,-0.20211578260554702,-0.2351594359519408,-0.18313026501507523,0.0391277728329404,0.1068908472202738,-0.018973839941831123,-0.050379491748628935,0.16949973297655718,0.02035720544188324,-0.09337312992585493
0.56,-0.19493838167692382,-0.20384011395364787,-0.12022039331165853,0.023247801980918803,0.026915457314378444,-0.07021534173710751,-0.16924597481116263,0.18963469159135882,0.017312567403368128,-0.07572649553084235
0.58,-0.1876456805389472,-0.1737118309054745,-0.0645209454747383,0.009257749596823947,-0.039327035324212445,-0.09674056173264108,-0.23201161811359594,0.1896526197480439,0.008699362231251279,-0.0543530910573499
0.6,-0.18023756282818573,-0.14478874769205752,-0.01572405914429823,-0.002915224992427432,-0.09353395539922371,-0.10084876878034654,-0.2491627604362151,0.17660148041580728,-0.006741275193537169,-0.023320662431119115
0.62,-0.17271387922276366,-0.11708476887060984,0.026476334065929884,-0.013343424988403433,-0.13734235764866465,-0.08472772521045775,-0.23000185967487397,0.1351398258159192,-0.028033059530532044,0.027519807304776687
0.64,-0.16507447933041466,-0.09061376039127098,0.06239084808239161,-0.022100052991362043,-0.1723248420377027,-0.050433601729579766,-0.18257285495587622,0.04239236703959115,-0.06646059335987319,0.13762234988473074
0.66,-0.15731922352887173,-0.06539000574683639,0.09232666962946746,-0.029257259423981778,-0.19996279682223417,0.0001426087485895048,-0.11454675286015549,-0.08454479342349033,-0.11408081880365775,0.2819226101621708
0.68,-0.14944804090342007,-0.04142978418810608,0.11659584270540956,-0.034888021131570975,-0.22170787556515267,0.06518000595320345,-0.03285907360698469,-0.12323650191368662,-0.0701368107772905,0.1950174070643967
0.7,-0.14146074588649932,-0.018746862654357207,0.1355088902956956,-0.039064835975831005,-0.23884216588811655,0.14317037835517737,0.056273167891252654,-0.0725911901603962,-0.0068164812487890546,0.03218365352692823
0.72,-0.13335714439946295,0.0026458351844509875,0.1493916033539585,-0.04186389606627559,-0.2526823982326433,0.232575598046091,0.14948192329096868,-0.03924228291196622,-0.0011491315137391513,0.008272547374468104
0.74,-0.125137091966308,0.022733946756774277,0.15856539952700974,-0.04336011573042567,-0.2644997207878629,0.33193810520526773,0.2435035978399056,-0.04551501521096006,-0.03232762822010499,0.08857928775857762
0.76,-0.11678134731252016,0.04140947161678917,0.1641416621553724,-0.04483459837533123,-0.0012662303257963026,-0.25908557697460016,-0.007186164343054132,-0.4831072094498354,0.03012608455050747,-0.030944625609412052
0.78,-0.10832602404418129,0.05883180250674307,0.16494780450820065,-0.04407958591212127,0.017310596266646147,-0.21931881126821814,0.04126073918814216,-0.38470640208214985,0.07381741796996862,-0.15706205166344844
0.8,-0.09975363025809023,0.07490375906288858,0.16199847465384698,-0.04225088582172915,0.037124745003540655,-0.1786843233872298,0.07656410895113937,-0.13010382522400352,0.10091489726479126,-0.30037219126192494
0.82,-0.09106383011040198,0.08961224363480916,0.15564878848689248,-0.039431380850203084,0.057153040746202866,-0.1386025925961641,0.10319887952527657,0.027607009388192445,0.08683565071426351,-0.2949982890807219
0.84,-0.08225649628965352,0.10294191191863275,0.14623706585110552,-0.03569929541683927,0.07663422369017091,-0.10005936446735458,0.12076459926078954,0.12512221616138952,0.02963926490610202,-0.15436454753413623
0.86,-0.07333150392731111,0.11487790605825376,0.13408307327564395,-0.031128535973389,0.09485538093744761,-0.06399779512612433,0.1282321605606344,0.17435353686435612,0.006903941003975763,-0.08471578777238117
0.88,-0.06428865061268182,0.12540501470099116,0.11952658001259044,-0.02579730286502234,0.11121382819601475,-0.031117939985801372,0.12600602498601013,0.19252644462568805,-0.00809552325631381,-0.021607680164725487
0.9,-0.05512774163914392,0.1345080709502019,0.10290665322394843,-0.019783508167121665,0.12516879975071238,-0.0020131981401144096,0.11481388608183156,0.18946138798606474,-0.019438983241466038,0.0403071138922336
0.92,-0.04584858573088708,0.14217191403291657,0.08456225278784124,-0.013164896533405534,0.1362459437998054,0.022839622675057934,0.09562179188523832,0.16855456000395866,-0.019148693946402253,0.07859538742034985
0.94,-0.03645097821050813,0.14838124810540096,0.06483720746678348,-0.006020138576072794,0.14405008872102146,0.04311553852262357,0.06980177496322638,0.13586725961661036,-0.011435154435560374,0.10097874780982356
0.96,-0.02693470590779634,0.1531206173106877,0.044078830598592994,0.0015715122280191833,0.14827500373073935,0.05865652418770771,0.03880090440302401,0.10968156943284635,-0.012446641511961839,0.13816971797241165
0.98,-0.017299563904371505,0.15637457711281494,0.022630371697787675,0.009531867238808632,0.14867538654277168,0.06940314590715184,0.003806341855535282,0.10136295877096992,-0.011208616929629343,0.1593961822138761
1.0,-0.007545314441822402,0.158128043909814,0.0008424286452634673,0.01778112010084155,0.14505489643842556,0.0753984036311384,-0.032582423565571235,0.07377579473721028,0.0042579223771232935,0.13961515820348752
1.02,0.0023282553663679867,0.15836518684825268,-0.02093079002157475,0.026238905816209062,0.1373039028738669,0.07684898115210903,-0.06838831024631054,0.029500615698604606,0.03355784267963293,0.09052070431350104
1.04,0.012321377625111901,0.15707016228446358,-0.04232887598680853,0.03482367166175225,0.12541589811746487,0.07416130054716426,-0.10154242451566264,-0.013851515403241931,0.053595157690161224,0.06112286350467094
1.06,0.022434281433147404,0.15422717574387879,-0.0629937680787273,0.04345453160939746,0.10944460718771044,0.06784409539948469,-0.13018297484291153,-0.05259687514968097,0.06478066352238948,0.048267301406292484
1.08,0.0326672055953249,0.14982034092847035,-0.08256532394902212,0.05205030045484344,0.08951795325178832,0.05854447121926275,-0.15256422178077114,-0.08480805913280673,0.06960907011353454,0.04513746211563891
1.1,0.043020387299870524,0.14383368645795916,-0.10068117663929717,0.06052945863355386,0.06583927781684112,0.04705023727792183,-0.16712034135581688,-0.10948361059332079,0.07227749257690595,0.041406880139756824
1.12,0.05349407198431227,0.13625113751978282,-0.11697647280200041,0.06881009880718697,0.03868750077697257,0.0342914350491054,-0.17250800697361318,-0.12583469962805505,0.07833100916328911,0.023734670600078084
1.14,0.06408830028988764,0.12705908405564315,-0.13111885297199877,0.0768122372564118,0.006332877359717073,0.0169733924632896,-0.03099151435632323,-0.060605358832135366,-0.9064718739649746,-0.32021660377283473
1.16,0.07480398087048004,0.11623337296573905,-0.1426270837196596,0.08444487081025087,-0.02450742872235066,0.009491386369504373,-0.15148418282738654,-0.12187983912204278,0.07916137467195167,-0.0004243266560856329
1.18,0.08564072757849682,0.10376550617619999,-0.15123651573034108,0.09163240884360777,-0.05960386801106922,5.1854574098135e-05,-0.12360798430468536,-0.10651705459575023,0.07033964366046974,0.004240291618411503
1.2,0.09659902455607286,0.089636288192753,-0.15653412342327633,0.09828838843269122,-0.09627480147835668,-0.0054393166209547395,-0.08384460695177778,-0.08165265108352408,0.05962836095301507,0.01213127634106424
1.22,0.10767913605207734,0.07382913691780599,-0.15814431956560632,0.10432936150560514,-0.1338582809495508,-0.005331991351176898,-0.032900624468821714,-0.04762460877559224,0.06342692395996366,-0.015393812914146817
1.24,0.1188813473282666,0.05632734157052051,-0.15568653573421,0.10967095169921752,-0.17160629215599868,0.002193473854211814,0.0282329273655422,-0.00900285374197414,0.08203632992520987,-0.07617663615364259
1.26,0.13020595515028122,0.037113888516279905,-0.1487694026206263,0.11422654147541005,-0.20868046724293368,0.019146345413235625,0.09849773353852086,0.04161992960481101,0.0880917671798179,-0.10590986136037456
1.28,0.14165324346471275,0.01617185399860533,-0.13700765609973173,0.11791104330937216,-0.24418105869872167,0.0476343812422096,0.17561129738787296,0.10055994995574581,0.09117571199163908,-0.12707507284318523
1.3,0.15322350836929108,-0.006515832072389715,-0.1200122813986591,0.12063871408068252,-0.27712686646647894,0.0899238544412018,0.25668058650589376,0.16457493291307196,0.09558568274706919,-0.149603169295417
1.32,0.1650539476654279,-0.031736087719724644,-0.1485898256877728,-0.4741980527182333,0.003275359561221739,-0.0747378429090242,-0.05197567081211741,-0.05907012904917623,-0.001663086034869231,0.017873713184194978
1.34,0.1768797839472954,-0.05801600722355433,-0.12323139622892251,-0.511895836072234,-0.002319732603612924,-0.009441712812465546,0.0012200464003021912,0.01047886081222311,-0.005014864746318234,0.014624646975539765
1.36,0.18882996409964353,-0.08609561824547522,-0.0916159786879355,-0.5526586674258326,-0.001093738841538286,0.07695254040154413,0.04479321217350376,0.04235617042352599,0.006188245504806449,-0.029558584916362637
1.38,0.2007639935162173,-0.11518547399435566,0.009301638816789056,0.11872474342543357,-0.02124444436330391,-0.41744742074918373,0.1205297304274949,0.024413350146967817,-0.0783685355799881,0.2654066845316805
1.4,0.21295515145202815,-0.1468687882928916,0.05847231320483807,0.1152756930709587,-0.00411616256366459,-0.3171266127169346,0.12654746141873804,0.044533714376392405,-0.05912795271801926,0.2126132325997639
1.42,0.22527123959737536,-0.18040314980591324,0.1152757882136163,0.11034143461905649,0.023966773896660364,-0.1883139419468151,0.10122927202278081,0.04647853303255164,-0.0298737315690168,0.12346336524667713
1.44,0.23771259513208873,-0.21580649405924113,0.1801185227283653,0.10383352446742757,0.06456559808085512,-0.027727907659296596,0.03520728660468303,0.02022723950946104,0.018389465067875962,-0.025107443942951196
1.46,0.25027959113982906,-0.25309727572967794,0.2534291783354667,0.09565874487788054,0.11935582861402179,0.16817477879562606,-0.08043509037052894,-0.023856507063459462,0.022831497764328905,-0.09600171839239291
1.48,0.262972569022335,-0.2922936626887222,0.33562113692606454,0.08572745347069047,0.1900576552271678,0.40298529990827264,-0.2571757761513435,-0.0954757370614111,-0.00554389454253526,-0.1257800796832933
